GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"sex, ageGroup",,f,55-59,14,0.16,0.21,0.28,0.23,4,10,10,32,2,1,0.12,7,4,0.66,0,0,0.0,14,0,0.0,0,8,0.57,6,0,0.0,8,1,0.16,5,0,0.0
"sex, ageGroup",,f,60-64,10,0.0,0.26,0.0,0.33,0,10,10,20,0,3,0.3,7,0,0.0,9,0,0.0,1,0,0.0,0,1,0.1,9,0,0.0,1,6,0.66,3,0,0.0
"sex, ageGroup",,f,65-69,2,0.12,0.12,0.5,0.16,1,1,1,5,1,0,0.0,0,1,0.5,0,0,0.0,2,0,0.0,0,0,0.0,2,0,0.0,0,1,0.5,1,0,0.0
"sex, ageGroup",,m,0-4,220,0.25,0.22,0.28,0.23,63,157,157,503,18,15,0.09,136,51,0.73,15,58,0.28,144,3,0.16,60,65,0.42,88,7,0.1,64,19,0.12,135,2,0.03
"sex, ageGroup",,m,10-14,38,0.17,0.26,0.18,0.27,7,31,31,83,3,5,0.17,23,7,0.7,9,4,0.13,25,0,0.0,1,15,0.4,22,0,0.0,18,7,0.35,13,0,0.0
"sex, ageGroup",,m,15-19,18,0.31,0.27,0.11,0.29,2,16,16,38,3,1,0.07,13,1,0.25,3,0,0.0,15,0,0.0,0,13,0.76,4,1,1.0,10,2,0.25,6,0,0.0
"sex, ageGroup",,m,20-24,22,0.0,0.27,0.0,0.33,0,22,22,44,0,2,0.09,20,0,0.0,7,0,0.0,15,0,0.0,0,19,0.86,3,0,0.0,15,1,0.14,6,0,0.0
"sex, ageGroup",,m,25-29,38,0.22,0.24,0.15,0.28,6,32,32,82,1,2,0.06,30,5,0.83,18,0,0.0,20,0,0.0,0,20,0.52,18,0,0.0,13,10,0.41,14,1,0.07
"sex, ageGroup",,m,30-34,32,0.17,0.24,0.15,0.28,5,27,27,69,2,3,0.11,23,4,0.66,9,0,0.0,23,0,0.0,0,21,0.65,11,0,0.0,16,3,0.2,12,1,0.05
"sex, ageGroup",,m,35-39,21,0.25,0.28,0.04,0.31,1,20,20,43,0,4,0.2,16,1,1.0,9,0,0.0,12,0,0.0,1,13,0.65,7,0,0.0,10,3,0.27,8,0,0.0
